Name,Price,Rating,Release,Follows,Online,Peak,Genre
Love Alone Death,Free,90.34%,Oct 2023,397,0,12,Dating-Sim
STORY OF SEASONS: Friends of Mineral Town,$9.99,90.31%,Jul 2020,"31,198",133,"3,706",Dating-Sim
Aurelia,$19.99,90.25%,Dec 2024,"27,518",38,"1,279",Dating-Sim
THE IDOLM@STER STARLIT SEASON,—,90.25%,Oct 2021,"26,994",8,"6,138",Dating-Sim
Brief Karate Foolish,Free,90.23%,Nov 2016,"5,310",0,314,Dating-Sim
Love Love School Days,$5.99,90.16%,Feb 2023,"4,406",3,277,Dating-Sim
The Groom of Gallagher Mansion,$4.99,90.15%,Sep 2023,764,0,53,Dating-Sim
LOVE³ -Love Cube-,$9.99,90.14%,Jul 2019,"26,928",4,380,Dating-Sim
Emily is Away Too,$4.99,90.14%,May 2017,"12,259",6,844,Dating-Sim
Confess My Love,Free,90.13%,May 2017,"9,288",0,130,Dating-Sim
Time Space Rebuild DemoDemo,Free,90.13%,Apr 2025,—,0,41,Dating-Sim
性感史莱姆派对（Slime Sexy Party）,$1.99,90.12%,Jul 2025,98,0,739,Dating-Sim
ACE Academy,$19.99,90.11%,Aug 2016,"8,275",3,132,Dating-Sim
Spice&Wolf VR2,$24.99,90.09%,Dec 2020,"8,908",0,34,Dating-Sim
Mosaique Neko Waifus 3,$1.49,90.08%,Aug 2020,"8,641",3,380,Dating-Sim
MetaWare High School (Demo),Free,90.08%,Apr 2020,892,0,43,Dating-Sim
Love Begins With Goodbye,$15.99,90.07%,Aug 2025,"1,900",3,443,Dating-Sim
狂想！夏日盛宴,$6.99,90.07%,Nov 2025,252,0,173,Dating-Sim
Meddl Dash,$0.99,90.07%,Sep 2024,143,0,23,Dating-Sim
Her New Memory - Hentai Simulator,$9.99,90.06%,Feb 2022,"12,015",12,261,Dating-Sim
Highway Blossoms,$12.99,90.05%,Jun 2016,"9,726",5,146,Dating-Sim
ISLAND,$23.99,90.04%,Aug 2018,"14,384",2,80,Dating-Sim
Sickly Days and Summer Traces,$19.99,90.03%,Jun 2025,"9,369",15,881,Dating-Sim
Her World,$14.99,90.01%,Oct 2022,952,0,137,Dating-Sim
Treasure of Nadia,$14.99,89.97%,Feb 2022,"50,580",210,"1,699",Dating-Sim
Amairo Chocolate 2,$29.99,89.96%,Jun 2023,"2,992",3,67,Dating-Sim
IN HEAT: Lustful Nights,$14.99,89.94%,Jun 2024,"25,253",30,665,Dating-Sim
Tsuki ni Yorisou Otome no Sahou 2,$39.99,89.90%,May 2025,"1,962",6,290,Dating-Sim
Rain World: DownpourDLC,$9.74,89.84%,Jan 2023,—,—,—,Dating-Sim
Cabernet,$19.99,89.83%,Feb 2025,"10,798",49,643,Dating-Sim
Love Sucks: Night Two,$6.49,89.83%,Apr 2024,"6,850",7,156,Dating-Sim
Cross Princess,$1.94,89.82%,Sep 2020,"2,904",0,70,Dating-Sim
Inari,$8.99,89.81%,Sep 2024,"15,648",96,"1,593",Dating-Sim
NEKO-NIN exHeart,$4.99,89.80%,Apr 2017,"15,908",0,89,Dating-Sim
Killed by Love 99 Times,$12.99,89.79%,Mar 2025,"1,091",1,158,Dating-Sim
我打不过漂亮的她们,$8.79,89.73%,Sep 2025,"8,065",18,"7,299",Dating-Sim
Nightshade／百花百狼,$34.38,89.72%,Apr 2017,"6,497",4,220,Dating-Sim
打工吧！天使酱 ~天使在魔界的劳改生活~,Free,89.72%,Jul 2022,"1,417",0,87,Dating-Sim
Baldr Sky,$49.99,89.70%,Dec 2019,"8,165",6,189,Dating-Sim
Fureraba ~Friend to Lover~,$29.99,89.57%,May 2018,"4,249",0,69,Dating-Sim
Ten Trials of Babel: The Doppelganger Maze,$2.69,89.54%,Mar 2022,"6,160",1,642,Dating-Sim
像素男友 语音完整版,$3.99,89.52%,Dec 2020,779,0,47,Dating-Sim
Love is All Around 2 DemoDemo,Free,89.52%,Jun 2025,—,0,721,Dating-Sim
他人世界末 On-looker,$8.99,89.50%,Jul 2020,"5,024",0,233,Dating-Sim
Sucker for Love: Prelude,Free,89.49%,Dec 2021,"1,317",0,29,Dating-Sim
Chinese Parents,$5.49,89.48%,Sep 2018,"89,714",146,"32,593",Dating-Sim
Material Girl,—,89.47%,Jun 2017,"32,209",3,"3,167",Dating-Sim
Projekt: Passion - Season 1,$11.99,89.45%,May 2023,"38,501",27,636,Dating-Sim
Full Service,$39.99,89.45%,Mar 2020,"5,875",3,173,Dating-Sim
