Name,Price,Rating,Release,Follows,Online,Peak,Genre
Manny's,$7.99,86.12%,Oct 2023,"2,238",1,116,Walking-Simulator
Befriended Curse,$4.99,86.09%,Jul 2024,539,2,16,Walking-Simulator
Until Oblivion,Free,86.09%,Oct 2024,165,0,7,Walking-Simulator
Among the Sleep - Enhanced Edition,$16.99,86.08%,Nov 2017,"26,039",10,488,Walking-Simulator
Clawfish,$2.99,86.08%,Jun 2021,647,0,33,Walking-Simulator
Thief Simulator 2,$19.99,86.07%,Oct 2023,"32,075",104,"4,152",Walking-Simulator
Lorelai,$8.99,86.01%,Apr 2019,"4,430",2,253,Walking-Simulator
Deliver Us The Moon,$24.99,85.99%,Oct 2019,"30,713",8,545,Walking-Simulator
Afterdream,$10.99,85.98%,Sep 2023,"2,343",1,43,Walking-Simulator
Newton's Fourth Law,$11.99,85.98%,Jan 2025,"1,829",0,105,Walking-Simulator
Radiolight DemoDemo,Free,85.88%,Feb 2025,—,1,57,Walking-Simulator
Dodd Goes to the Museum,Free,85.88%,Jan 2025,90,0,5,Walking-Simulator
Near Death,$7.99,85.87%,Aug 2016,"9,334",0,44,Walking-Simulator
The Vanishing of Ethan Carter,$19.99,85.85%,Sep 2014,"73,695",4,"1,443",Walking-Simulator
Point of Mew,Free,85.83%,Mar 2023,141,0,7,Walking-Simulator
From The Darkness,$6.99,85.81%,Mar 2021,"4,763",2,51,Walking-Simulator
Some Distant Memory,$12.99,85.81%,Nov 2019,"1,829",0,9,Walking-Simulator
EarWorm,$2.99,85.79%,Apr 2025,405,0,6,Walking-Simulator
?? Movie Theater,$4.99,85.77%,May 2025,178,0,38,Walking-Simulator
Keeper,$29.99,85.74%,Oct 2025,"11,484",16,191,Walking-Simulator
Recollection,$1.99,85.72%,Apr 2023,250,0,8,Walking-Simulator
Kota`s New Journey - Supporter PackDLC,$4.99,85.72%,Nov 2024,—,—,—,Walking-Simulator
Cloudpunk,$6.99,85.70%,Apr 2020,"75,173",28,932,Walking-Simulator
Tank Mechanic Simulator,$19.99,85.68%,Feb 2020,"41,175",66,"5,022",Walking-Simulator
"So, uh... a spaceship crashed in my yard.",Free,85.67%,Aug 2018,325,0,117,Walking-Simulator
Slender: The Arrival,$19.99,85.65%,Oct 2013,"23,367",2,494,Walking-Simulator
The Berlin Apartment,$24.99,85.65%,Nov 2025,"6,237",17,96,Walking-Simulator
Escape from Hornhead,Free,85.62%,Jun 2024,33,1,10,Walking-Simulator
"That Dragon, Cancer",$9.99,85.61%,Jan 2016,"14,925",0,165,Walking-Simulator
Runo,Free,85.61%,Jul 2021,"1,095",0,138,Walking-Simulator
Été,$24.99,85.59%,Jul 2024,"2,728",0,69,Walking-Simulator
blank_01,Free,85.58%,Aug 2025,103,0,10,Walking-Simulator
Lost Nova,$14.99,85.55%,May 2022,"2,663",1,130,Walking-Simulator
Poop Killer - Flush or Die,$4.99,85.50%,Mar 2025,377,0,19,Walking-Simulator
Fragrance Point,$8.00,85.49%,Jan 2025,625,0,22,Walking-Simulator
Boots Quest DX,$9.99,85.49%,Nov 2022,162,0,7,Walking-Simulator
Red Matter,$24.99,85.48%,Nov 2018,"4,336",0,35,Walking-Simulator
My Sleeping Girlfriend,$3.99,85.45%,Oct 2025,177,0,10,Walking-Simulator
Walking Simulator,Free,85.43%,Mar 2020,"7,937",2,473,Walking-Simulator
Who's at the door?,$4.99,85.42%,Jul 2025,"3,662",15,320,Walking-Simulator
INFRA,$6.59,85.41%,Jan 2016,"13,097",29,145,Walking-Simulator
Abnormal1999:Sector 49,$2.99,85.41%,Jul 2024,117,0,112,Walking-Simulator
Animas PrologueDemo,Free,85.40%,Oct 2025,—,21,29,Walking-Simulator
Analog - Skin off,Free,85.38%,Jul 2025,242,2,14,Walking-Simulator
Cat Detective Albert Wilde,$11.99,85.36%,Jan 2025,"1,666",0,17,Walking-Simulator
Anomaly Exit,$5.99,85.34%,Mar 2024,"1,493",11,389,Walking-Simulator
Pine Hearts,$8.44,85.34%,May 2024,"1,007",2,28,Walking-Simulator
SCP: Secret Files,$14.99,85.32%,Sep 2022,"28,098",2,927,Walking-Simulator
Off-Peak,Free,85.26%,Feb 2015,"2,751",0,66,Walking-Simulator
The Complex: Expedition,$14.99,85.25%,Jul 2025,"9,537",8,242,Walking-Simulator
9 Childs Street,$6.99,85.24%,Feb 2023,"1,421",0,30,Walking-Simulator
Call of the Sea,$19.99,85.23%,Dec 2020,"18,787",7,213,Walking-Simulator
While We Wait Here,$4.99,85.21%,Oct 2024,"6,469",26,286,Walking-Simulator
Imaginary Friend Asylum,$4.99,85.20%,May 2024,548,1,6,Walking-Simulator
tomorrow is my birthday,$2.99,85.20%,May 2024,66,0,3,Walking-Simulator
The Dream Libra had,Free,85.19%,May 2021,497,0,21,Walking-Simulator
Invasion of The Halloween Fiends,$3.49,85.19%,Oct 2024,190,0,18,Walking-Simulator
Creepy Shift: House For Sale,$6.99,85.18%,Apr 2025,721,2,29,Walking-Simulator
Mouthwashing - Work In ProgressDLC,Free,85.18%,Sep 2025,—,—,—,Walking-Simulator
Necrophosis,$15.99,85.17%,Apr 2025,"7,612",3,127,Walking-Simulator
