Name,Price,Rating,Release,Follows,Online,Peak,Genre
Ancible Online,Free,73.31%,Nov 2025,348,22,88,MMORPG
Pixel Worlds: MMO Sandbox,—,73.30%,Jan 2017,"4,777",11,"1,404",MMORPG
Tales of Yore,Free,73.28%,Aug 2023,"1,212",0,56,MMORPG
Angel Legion-DLC Metro Enforcer DDLC,Free,73.26%,Oct 2025,—,—,—,MMORPG
Last Epoch - Primal Traveler Supporter PackDLC,$9.99,73.26%,Aug 2025,—,—,—,MMORPG
NTBSS: Master Character Training Pack - KakuzuDLC,$3.99,73.26%,Aug 2025,—,—,—,MMORPG
WildStar,—,73.24%,Jun 2014,"35,447",1,"5,060",MMORPG
Master-Servant Sex with the Beauty from the Orient ~Contract with a Semen-Sucking Demon~,$6.99,73.19%,Oct 2021,676,1,5,MMORPG
梦境世界,—,73.19%,Mar 2024,50,0,3,MMORPG
Archaeology - Grass Kingdom,$199.99,73.19%,Mar 2025,22,0,2,MMORPG
Angel Legion-DLC Flowing Moonfrost (Purple)DLC,Free,73.19%,Nov 2025,—,—,—,MMORPG
Angel Legion-DLC Metro Enforcer CDLC,Free,73.19%,Oct 2025,—,—,—,MMORPG
Angel Legion-DLC Metro Enforcer ADLC,Free,73.19%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Special Investigation CDLC,Free,73.19%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC High-Slit Cheongsam (Purple)DLC,Free,73.19%,Jul 2025,—,—,—,MMORPG
Angel Legion-DLC Tight Leather (Black)DLC,Free,73.19%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Night Raider ADLC,Free,73.19%,Feb 2025,—,—,—,MMORPG
Angel Legion-DLC New Employee CDLC,Free,73.19%,Feb 2025,—,—,—,MMORPG
STALCRAFT: X,Free,73.18%,Dec 2022,"67,830","12,616","40,311",MMORPG
Dead Maze,Free,73.16%,Feb 2018,"19,228",68,"3,967",MMORPG
Islet Online,Free,73.14%,Feb 2019,"6,011",17,145,MMORPG
Pow Vista,Free,73.08%,Jun 2024,78,1,52,MMORPG
Black Desert,$0.99,73.05%,May 2017,"190,850","17,148","60,395",MMORPG
Reign of Legends,Free,72.86%,Aug 2025,137,147,182,MMORPG
Elite Hacker: Retro Hacking Evolution: Grand Theft Transsexual Uplink Matrix Terminator SEO Words,$0.99,72.86%,Sep 2024,96,0,3,MMORPG
Modular Combat,Free,72.82%,Jan 2008,"11,480",0,224,MMORPG
Uncharted Ocean 2,Free,72.74%,Jan 2023,522,3,261,MMORPG
Kaion Tale MMORPG,Free,72.72%,Apr 2020,664,9,63,MMORPG
RIFT,Free,72.66%,Oct 2013,"45,153",378,"15,546",MMORPG
Rebornia - MMORPG 2D,Free,72.61%,Feb 2020,485,0,52,MMORPG
Forge of Gods (RPG),—,72.59%,May 2016,"5,098",0,"5,445",MMORPG
刀剑神魔录,Free,72.59%,Jan 2025,60,1,31,MMORPG
《蜀山：初章》买断版,$24.99,72.58%,Nov 2022,"17,935",16,"9,202",MMORPG
Kaetram,Free,72.52%,May 2024,828,36,111,MMORPG
World of Sea Battle,Free,72.51%,Oct 2025,"11,289","3,922","4,895",MMORPG
飛天歷險2025(Dream Of Mirror Online),Free,72.46%,Jun 2024,490,40,195,MMORPG
Elsword Free-to-Play,Free,72.44%,Jun 2018,"2,699",73,294,MMORPG
3D PUZZLE -  Leafless,$199.99,72.42%,May 2025,32,0,1,MMORPG
Angel Legion-DLC Metro Enforcer BDLC,Free,72.42%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Full bloom GDLC,Free,72.42%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Special Investigation EDLC,Free,72.42%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Cheerleader (Green)DLC,Free,72.42%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Tight Leather (Blue)DLC,Free,72.42%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Cheerleader (Blue)DLC,Free,72.42%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Vibrant Vitality FDLC,Free,72.42%,Apr 2025,—,—,—,MMORPG
Angel Legion-DLC Sexy Sweater EDLC,Free,72.42%,Apr 2025,—,—,—,MMORPG
Angel Legion-DLC Full bloom CDLC,Free,72.42%,Mar 2025,—,—,—,MMORPG
Angel Legion-DLC Seductive Kiss BDLC,Free,72.42%,Feb 2025,—,—,—,MMORPG
Angel Legion-DLC Athletic Sweetie BDLC,Free,72.42%,Feb 2025,—,—,—,MMORPG
Angel Legion-DLC Vibrant Vitality ADLC,Free,72.42%,Jan 2025,—,—,—,MMORPG
yni^,Free,72.39%,Feb 2023,129,0,4,MMORPG
Arcane Vale,$11.99,72.38%,Dec 2022,"1,211",1,65,MMORPG
Pantheon: Rise of the Fallen,$39.99,72.37%,Dec 2024,"20,479",661,"6,908",MMORPG
Eterspire,Free,72.35%,Sep 2025,"1,916",155,687,MMORPG
Ashen Empires,Free,72.34%,Apr 2002,"1,769",118,"1,271",MMORPG
BitCraft Online,$29.99,72.30%,Jun 2025,"35,988",850,"4,418",MMORPG
Angel Legion-DLC Absolution NunDLC,Free,72.22%,Apr 2025,—,—,—,MMORPG
NTBSS: Master Character Training Pack - Shisui Uchiha (Perfect Susano'o)DLC,$3.99,72.22%,Aug 2024,—,—,—,MMORPG
Para Ark 2: Angel From AfarDLC,$8.99,72.17%,Sep 2025,—,—,—,MMORPG
Shelter of Exiles DemoDemo,Free,72.17%,Feb 2024,—,0,9,MMORPG
Reformers Intl Ver(变革者国际版),$1.99,72.16%,Jun 2018,487,0,111,MMORPG
Prosperous Universe,Free,72.15%,Apr 2022,"3,361",33,183,MMORPG
Cubic Castles,Free,72.12%,Aug 2014,"14,515",17,"1,348",MMORPG
SPACERIFT: Arcanum System,$19.99,72.07%,Dec 2020,"3,313",5,39,MMORPG
Destiny 2: Heresy Silver BundleDLC,—,72.06%,Feb 2025,—,—,—,MMORPG
StarArc Echo,$5.99,72.05%,May 2025,"1,081",2,112,MMORPG
Fallout 76,$9.99,72.04%,Apr 2020,"155,216","10,332","73,368",MMORPG
Elsword,Free,71.99%,Jul 2014,"40,451",231,"2,587",MMORPG
Cellyon: Boss Confrontation,$17.99,71.94%,Oct 2020,909,0,13,MMORPG
DRAGON BALL XENOVERSE 2 - FUTURE SAGA Chapter 3DLC,$11.99,71.94%,Oct 2025,—,—,—,MMORPG
Mabinogi,Free,71.89%,Dec 2012,"12,788",587,"1,331",MMORPG
Old School RuneScape 12-Month Membership + OSTDLC,$99.48,71.89%,Feb 2021,—,—,—,MMORPG
Royal Quest Online - Hero PowerDLC,$9.90,71.88%,Dec 2024,—,—,—,MMORPG
Once Human - Ascend Daily Theme PackDLC,$24.99,71.77%,Jun 2025,—,—,—,MMORPG
Path of Exile 2,$29.99,71.75%,Dec 2024,"361,957","11,550","578,569",MMORPG
Ragnarok Online,—,71.75%,Nov 2013,"2,025",0,128,MMORPG
烈焰对决-经典归来,Free,71.73%,Jun 2024,96,0,822,MMORPG
ArcheBlade™,Free,71.70%,Apr 2014,"35,937",2,"3,460",MMORPG
Sky Clash: Lords of Clans 3D,Free,71.65%,Sep 2018,"2,180",29,103,MMORPG
Gangs of Space,Free,71.61%,Aug 2017,"2,121",0,383,MMORPG
Argentum Online,Free,71.60%,Apr 2022,987,130,684,MMORPG
Angel Legion-DLC Flowing Moonfrost (Blue)DLC,Free,71.55%,Nov 2025,—,—,—,MMORPG
Angel Legion-DLC Summer Wave (Blue)DLC,Free,71.55%,Nov 2025,—,—,—,MMORPG
Angel Legion-DLC Flowing Moonfrost (Red)DLC,Free,71.55%,Nov 2025,—,—,—,MMORPG
Angel Legion-DLC Sexy Maid (Red)DLC,Free,71.55%,Nov 2025,—,—,—,MMORPG
Angel Legion-DLC Sexy Maid (Black)DLC,Free,71.55%,Oct 2025,—,—,—,MMORPG
Angel Legion-DLC Sexy Maid (White)DLC,Free,71.55%,Oct 2025,—,—,—,MMORPG
Angel Legion-DLC Special Investigation BDLC,Free,71.55%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Special Investigation FDLC,Free,71.55%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Judgment Maiden (Black)DLC,Free,71.55%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Special Investigation ADLC,Free,71.55%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Judgment Maiden (Blue)DLC,Free,71.55%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Dream Girl (Purple)DLC,Free,71.55%,Jun 2025,—,—,—,MMORPG
Angel Legion-DLC Racing Cheer (Purple)DLC,Free,71.55%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Full bloom DDLC,Free,71.55%,Mar 2025,—,—,—,MMORPG
Angel Legion-DLC Vibrant Vitality DDLC,Free,71.55%,Mar 2025,—,—,—,MMORPG
Angel Legion-DLC Seductive Kiss CDLC,Free,71.55%,Mar 2025,—,—,—,MMORPG
Angel Legion-DLC Vibrant Vitality CDLC,Free,71.55%,Mar 2025,—,—,—,MMORPG
仙途世界,$29.99,71.52%,Mar 2024,50,0,16,MMORPG
Angel Legion-DLC Dream Girl (Black)DLC,Free,71.52%,Jul 2025,—,—,—,MMORPG
Angel Legion-DLC Night Raider BDLC,Free,71.52%,Jan 2025,—,—,—,MMORPG
NTBSS: Master Character Training Pack - SasoriDLC,$3.99,71.52%,Mar 2024,—,—,—,MMORPG
天仙月-GM畅玩版,—,71.45%,Jul 2022,351,0,112,MMORPG
MOBIUS FINAL FANTASY™,—,71.38%,Feb 2017,"35,805",0,"9,443",MMORPG
Closers,Free,71.38%,Feb 2018,"26,195",16,"2,091",MMORPG
Haven & Hearth,Free,71.20%,Nov 2024,"3,040",67,996,MMORPG
VALKYRIE CONNECT,Free,71.17%,Apr 2020,"3,263",129,"1,438",MMORPG
Armored of Doom,Free,71.17%,Sep 2024,467,1,"1,494",MMORPG
Absolver,$29.99,71.16%,Aug 2017,"103,653",20,"18,921",MMORPG
Engine Evolution 2021,Free,71.13%,Jan 2022,"2,118",1,158,MMORPG
Just Fishing,—,71.06%,Dec 2017,"4,337",1,437,MMORPG
Idle Clans,Free,71.05%,Apr 2023,"1,102",827,911,MMORPG
Fishing Planet: Sailor Collection PackDLC,$19.99,70.99%,Aug 2024,—,—,—,MMORPG
Destiny 2: The Witch QueenDLC,$2.99,70.89%,Feb 2022,—,—,—,MMORPG
Steam Spire Chronicles,Free,70.84%,Jun 2024,39,0,3,MMORPG
三国世界 - TKWORLD,$1.99,70.84%,Mar 2023,33,0,4,MMORPG
仙途,$29.99,70.84%,Jun 2024,23,0,5,MMORPG
Fellowship - Guardian's Supporter PackDLC,$14.99,70.84%,Oct 2025,—,—,—,MMORPG
Mist Legacy,Free,70.76%,Sep 2022,"4,860",63,"1,065",MMORPG
Empire of the Wicked,Free,70.75%,Jun 2020,60,0,3,MMORPG
Angel Legion-DLC Full bloom BDLC,Free,70.75%,Feb 2025,—,—,—,MMORPG
女神守护者,Free,70.61%,Jul 2023,551,0,121,MMORPG
LastCloudia,Free,70.57%,Feb 2021,"2,605",84,"7,862",MMORPG
Angel Legion-DLC Special Investigation GDLC,Free,70.57%,Sep 2025,—,—,—,MMORPG
Angel Legion-DLC Full bloom FDLC,Free,70.57%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Full bloom EDLC,Free,70.57%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Judgment Maiden (Red)DLC,Free,70.57%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Gentle Jade Beauty CDLC,Free,70.57%,Aug 2025,—,—,—,MMORPG
Angel Legion-DLC Dream Girl (Blue)DLC,Free,70.57%,Jun 2025,—,—,—,MMORPG
Angel Legion-DLC High-Slit Cheongsam (Orange)DLC,Free,70.57%,Jun 2025,—,—,—,MMORPG
Angel Legion-DLC High-Slit Cheongsam (White)DLC,Free,70.57%,Jun 2025,—,—,—,MMORPG
Angel Legion-DLC Tight Leather (Red)DLC,Free,70.57%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Racing Cheer (Grey)DLC,Free,70.57%,May 2025,—,—,—,MMORPG
Angel Legion-DLC Racing Cheer (Red)DLC,Free,70.57%,Apr 2025,—,—,—,MMORPG
Angel Legion-DLC Tight Leather (Purple)DLC,Free,70.57%,Apr 2025,—,—,—,MMORPG
Angel Legion-DLC Interstellar Guide DDLC,Free,70.57%,Mar 2025,—,—,—,MMORPG
异世界物语,Free,70.25%,Jan 2025,40,0,23,MMORPG
Lost Ark,Free,70.19%,Feb 2022,"277,261","15,216","1,325,305",MMORPG
Dofus,—,70.19%,Nov 2016,"2,454",0,399,MMORPG
