tag_name,url,game_count
Extraction Shooter,https://steamdb.info/tag/1199779/,229
Boss Rush,https://steamdb.info/tag/11095/,222
Dice,https://steamdb.info/tag/7556/,217
Well-Written,https://steamdb.info/tag/8461/,196
Instrumental Music,https://steamdb.info/tag/189941/,196
Epic,https://steamdb.info/tag/3965/,185
Rock Music,https://steamdb.info/tag/337964/,156
Birds,https://steamdb.info/tag/6214/,112
8-bit Music,https://steamdb.info/tag/117648/,111
Musou,https://steamdb.info/tag/323922/,80
Electronic,https://steamdb.info/tag/143739/,74
Fox,https://steamdb.info/tag/30927/,67
Hobby Sim,https://steamdb.info/tag/1220528/,55
Coding,https://steamdb.info/tag/42329/,54
Volleyball,https://steamdb.info/tag/847164/,37
Rugby,https://steamdb.info/tag/49213/,32
Reboot,https://steamdb.info/tag/5941/,17
Snooker,https://steamdb.info/tag/363767/,17
Singleplayer,https://steamdb.info/tag/4182/?min_reviews=500,112446
Multiplayer,https://steamdb.info/tag/3859/?min_reviews=500,24661
PvP,https://steamdb.info/tag/1775/?min_reviews=500,14661
Co-op,https://steamdb.info/tag/1685/?min_reviews=500,12856
Online Co-Op,https://steamdb.info/tag/3843/?min_reviews=500,10925
Massively Multiplayer,https://steamdb.info/tag/128/,7527
Local Multiplayer,https://steamdb.info/tag/7368/,6575
Local Co-Op,https://steamdb.info/tag/3841/,4854
Team-Based,https://steamdb.info/tag/5711/,3797
4 Player Local,https://steamdb.info/tag/4840/,2876
Co-op Campaign,https://steamdb.info/tag/4508/,1230
Asynchronous Multiplayer,https://steamdb.info/tag/17770/,911
Story Rich,https://steamdb.info/tag/1742/?min_reviews=500,33130
Choices Matter,https://steamdb.info/tag/6426/?min_reviews=500,16170
Visual Novel,https://steamdb.info/tag/3799/?min_reviews=500,15963
Multiple Endings,https://steamdb.info/tag/6971/?min_reviews=500,14237
Interactive Fiction,https://steamdb.info/tag/11014/,8948
Romance,https://steamdb.info/tag/4947/,8915
Choose Your Own Adventure,https://steamdb.info/tag/4486/,8875
